id,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
73,202004,경기,차량용 가스 충전업,2879312703.0
74,202004,경기,차량용 주유소 운영업,106061747080.0
75,202004,경기,체인화 편의점,95371769501.0
76,202004,경기,택시 운송업,132357700.0
77,202004,경기,피자 햄버거 샌드위치 및 유사 음식점업,16796105670.0
78,202004,경기,한식 음식점업,195984383590.0
79,202004,경기,호텔업,75892164.0
80,202004,경기,화장품 및 방향제 소매업,4413936292.0
81,202004,경기,휴양콘도 운영업,43732674.0
82,202004,경남,건강보조식품 소매업,297597119.0
83,202004,경남,골프장 운영업,5656875756.0
84,202004,경남,과실 및 채소 소매업,3191521734.0
85,202004,경남,관광 민예품 및 선물용품 소매업,57396530.0
86,202004,경남,그외 기타 분류안된 오락관련 서비스업,474000.0
87,202004,경남,그외 기타 스포츠시설 운영업,906600.0
88,202004,경남,그외 기타 종합 소매업,1132145650.0
89,202004,경남,기타 대형 종합 소매업,17723528930.0
90,202004,경남,기타 수상오락 서비스업,1264100.0
91,202004,경남,기타 외국식 음식점업,1466280756.0
92,202004,경남,기타 주점업,559661623.0
93,202004,경남,기타음식료품위주종합소매업,12981411385.0
94,202004,경남,내항 여객 운송업,30626900.0
95,202004,경남,마사지업,36839577.0
96,202004,경남,면세점,0.0
97,202004,경남,버스 운송업,326500.0
98,202004,경남,비알콜 음료점업,2992008824.0
99,202004,경남,빵 및 과자류 소매업,3635647794.0
100,202004,경남,서양식 음식점업,4242104356.0
101,202004,경남,수산물 소매업,928214556.0
102,202004,경남,슈퍼마켓,29212925358.0
103,202004,경남,스포츠 및 레크레이션 용품 임대업,4680802605.0
104,202004,경남,여관업,721721854.0
105,202004,경남,여행사업,92000.0
106,202004,경남,욕탕업,757799734.0
107,202004,경남,육류 소매업,5739060205.0
108,202004,경남,일반유흥 주점업,3666531061.0
109,202004,경남,일식 음식점업,2223093153.0
110,202004,경남,자동차 임대업,1021000.0
111,202004,경남,전시 및 행사 대행업,46009250.0
112,202004,경남,정기 항공 운송업,0.0
113,202004,경남,중식 음식점업,2655944612.0
114,202004,경남,차량용 가스 충전업,1117144263.0
115,202004,경남,차량용 주유소 운영업,35198687596.0
116,202004,경남,체인화 편의점,19930431171.0
117,202004,경남,택시 운송업,12454130.0
118,202004,경남,피자 햄버거 샌드위치 및 유사 음식점업,4248322750.0
119,202004,경남,한식 음식점업,50388568867.0
120,202004,경남,호텔업,19252450.0
121,202004,경남,화장품 및 방향제 소매업,1306924619.0
122,202004,경남,휴양콘도 운영업,77000480.0
123,202004,경북,건강보조식품 소매업,172058945.0
124,202004,경북,골프장 운영업,5934978475.0
125,202004,경북,과실 및 채소 소매업,2086163134.0
126,202004,경북,관광 민예품 및 선물용품 소매업,45788830.0
127,202004,경북,그외 기타 분류안된 오락관련 서비스업,0.0
128,202004,경북,그외 기타 스포츠시설 운영업,759300.0
129,202004,경북,그외 기타 종합 소매업,537089240.0
130,202004,경북,기타 대형 종합 소매업,12094595380.0
131,202004,경북,기타 수상오락 서비스업,850200.0
132,202004,경북,기타 외국식 음식점업,893967956.0
133,202004,경북,기타 주점업,252628665.0
134,202004,경북,기타음식료품위주종합소매업,9522862157.0
135,202004,경북,내항 여객 운송업,0.0
136,202004,경북,마사지업,8498000.0
137,202004,경북,면세점,0.0
138,202004,경북,버스 운송업,0.0
139,202004,경북,비알콜 음료점업,1731936144.0
140,202004,경북,빵 및 과자류 소매업,2172812290.0
141,202004,경북,서양식 음식점업,2441685881.0
142,202004,경북,수산물 소매업,1091363987.0
143,202004,경북,슈퍼마켓,26114020802.0
144,202004,경북,스포츠 및 레크레이션 용품 임대업,4492933008.0
145,202004,경북,여관업,262575027.0
146,202004,경북,여행사업,750000.0
147,202004,경북,욕탕업,268235325.0
148,202004,경북,육류 소매업,5721532260.0
149,202004,경북,일반유흥 주점업,875572865.0
150,202004,경북,일식 음식점업,986532995.0
151,202004,경북,자동차 임대업,1052000.0
152,202004,경북,전시 및 행사 대행업,48630790.0
153,202004,경북,정기 항공 운송업,0.0
154,202004,경북,중식 음식점업,1620590317.0
155,202004,경북,차량용 가스 충전업,1347460574.0
156,202004,경북,차량용 주유소 운영업,37306723635.0
157,202004,경북,체인화 편의점,12609712395.0
158,202004,경북,택시 운송업,423200.0
159,202004,경북,피자 햄버거 샌드위치 및 유사 음식점업,2338736050.0
160,202004,경북,한식 음식점업,29996160650.0
161,202004,경북,호텔업,36501326.0
162,202004,경북,화장품 및 방향제 소매업,852651535.0
163,202004,경북,휴양콘도 운영업,11427040.0
164,202004,광주,건강보조식품 소매업,315377018.0
165,202004,광주,골프장 운영업,263091400.0
166,202004,광주,과실 및 채소 소매업,2224358789.0
167,202004,광주,관광 민예품 및 선물용품 소매업,16928600.0
168,202004,광주,그외 기타 분류안된 오락관련 서비스업,0.0
169,202004,광주,그외 기타 스포츠시설 운영업,5095000.0
170,202004,광주,그외 기타 종합 소매업,1695501180.0
171,202004,광주,기타 대형 종합 소매업,7812544540.0
172,202004,광주,기타 수상오락 서비스업,0.0
173,202004,광주,기타 외국식 음식점업,761748325.0
174,202004,광주,기타 주점업,363403600.0
175,202004,광주,기타음식료품위주종합소매업,1005376023.0
176,202004,광주,내항 여객 운송업,0.0
177,202004,광주,마사지업,66805500.0
178,202004,광주,면세점,0.0
179,202004,광주,버스 운송업,6937000.0
180,202004,광주,비알콜 음료점업,2255023725.0
181,202004,광주,빵 및 과자류 소매업,2276558327.0
182,202004,광주,서양식 음식점업,3169037030.0
183,202004,광주,수산물 소매업,1125246752.0
184,202004,광주,슈퍼마켓,23125387608.0
185,202004,광주,스포츠 및 레크레이션 용품 임대업,3580146318.0
186,202004,광주,여관업,388700880.0
187,202004,광주,여행사업,0.0
188,202004,광주,욕탕업,281034986.0
189,202004,광주,육류 소매업,3394636863.0
190,202004,광주,일반유흥 주점업,794682920.0
191,202004,광주,일식 음식점업,844730660.0
192,202004,광주,자동차 임대업,1203200.0
193,202004,광주,전시 및 행사 대행업,5816180.0
194,202004,광주,정기 항공 운송업,0.0
195,202004,광주,중식 음식점업,1766495100.0
196,202004,광주,차량용 가스 충전업,829544265.0
197,202004,광주,차량용 주유소 운영업,13698819319.0
198,202004,광주,체인화 편의점,8750297700.0
199,202004,광주,택시 운송업,0.0
200,202004,광주,피자 햄버거 샌드위치 및 유사 음식점업,2014940678.0
201,202004,광주,한식 음식점업,26902695137.0
202,202004,광주,호텔업,31734468.0
203,202004,광주,화장품 및 방향제 소매업,1030347078.0
204,202004,광주,휴양콘도 운영업,0.0
205,202004,대구,건강보조식품 소매업,230309740.0
206,202004,대구,골프장 운영업,184223180.0
207,202004,대구,과실 및 채소 소매업,3220602970.0
208,202004,대구,관광 민예품 및 선물용품 소매업,16863200.0
209,202004,대구,그외 기타 분류안된 오락관련 서비스업,0.0
210,202004,대구,그외 기타 스포츠시설 운영업,272500.0
211,202004,대구,그외 기타 종합 소매업,1529685360.0
212,202004,대구,기타 대형 종합 소매업,18686829210.0
213,202004,대구,기타 수상오락 서비스업,136000.0
214,202004,대구,기타 외국식 음식점업,1017176415.0
215,202004,대구,기타 주점업,166295021.0
216,202004,대구,기타음식료품위주종합소매업,2142593586.0
217,202004,대구,내항 여객 운송업,0.0
218,202004,대구,마사지업,5825500.0
219,202004,대구,면세점,0.0
220,202004,대구,버스 운송업,0.0
221,202004,대구,비알콜 음료점업,2901719966.0
222,202004,대구,빵 및 과자류 소매업,3026378798.0
223,202004,대구,서양식 음식점업,4168709912.0
224,202004,대구,수산물 소매업,1476666685.0
225,202004,대구,슈퍼마켓,33493288913.0
226,202004,대구,스포츠 및 레크레이션 용품 임대업,3415302614.0
227,202004,대구,여관업,419083746.0
228,202004,대구,여행사업,0.0
229,202004,대구,욕탕업,184548712.0
230,202004,대구,육류 소매업,7003686303.0
231,202004,대구,일반유흥 주점업,404647675.0
232,202004,대구,일식 음식점업,1616650130.0
233,202004,대구,자동차 임대업,2050000.0
234,202004,대구,전시 및 행사 대행업,19985300.0
235,202004,대구,정기 항공 운송업,0.0
236,202004,대구,중식 음식점업,2297381700.0
237,202004,대구,차량용 가스 충전업,957527416.0
238,202004,대구,차량용 주유소 운영업,19617436264.0
239,202004,대구,체인화 편의점,13711842577.0
240,202004,대구,택시 운송업,3727366793.0
241,202004,대구,피자 햄버거 샌드위치 및 유사 음식점업,3408134550.0
242,202004,대구,한식 음식점업,33469324580.0
243,202004,대구,호텔업,65473090.0
244,202004,대구,화장품 및 방향제 소매업,1193823609.0
245,202004,대구,휴양콘도 운영업,0.0
246,202004,대전,건강보조식품 소매업,109723696.0
247,202004,대전,골프장 운영업,300589630.0
248,202004,대전,과실 및 채소 소매업,1218331616.0
249,202004,대전,관광 민예품 및 선물용품 소매업,17751703.0
250,202004,대전,그외 기타 분류안된 오락관련 서비스업,0.0
251,202004,대전,그외 기타 스포츠시설 운영업,223000.0
252,202004,대전,그외 기타 종합 소매업,1172924430.0
253,202004,대전,기타 대형 종합 소매업,7520953990.0
254,202004,대전,기타 수상오락 서비스업,0.0
255,202004,대전,기타 외국식 음식점업,915339439.0
256,202004,대전,기타 주점업,95258800.0
257,202004,대전,기타음식료품위주종합소매업,1619744818.0
258,202004,대전,내항 여객 운송업,0.0
259,202004,대전,마사지업,13052000.0
260,202004,대전,면세점,0.0
261,202004,대전,버스 운송업,0.0
262,202004,대전,비알콜 음료점업,1243708468.0
263,202004,대전,빵 및 과자류 소매업,1792919274.0
264,202004,대전,서양식 음식점업,2397269253.0
265,202004,대전,수산물 소매업,903848955.0
266,202004,대전,슈퍼마켓,9770856502.0
267,202004,대전,스포츠 및 레크레이션 용품 임대업,1151356984.0
268,202004,대전,여관업,246852273.0
269,202004,대전,여행사업,0.0
270,202004,대전,욕탕업,144131500.0
271,202004,대전,육류 소매업,2238450987.0
272,202004,대전,일반유흥 주점업,78185400.0
273,202004,대전,일식 음식점업,752855450.0
274,202004,대전,자동차 임대업,1693950.0
275,202004,대전,전시 및 행사 대행업,2519800.0
276,202004,대전,정기 항공 운송업,0.0
277,202004,대전,중식 음식점업,1372218075.0
278,202004,대전,차량용 가스 충전업,445284971.0
279,202004,대전,차량용 주유소 운영업,7951747747.0
280,202004,대전,체인화 편의점,6738448064.0
281,202004,대전,택시 운송업,0.0
282,202004,대전,피자 햄버거 샌드위치 및 유사 음식점업,1445139814.0
283,202004,대전,한식 음식점업,16670708886.0
284,202004,대전,호텔업,47555040.0
285,202004,대전,화장품 및 방향제 소매업,473177555.0
286,202004,대전,휴양콘도 운영업,0.0
287,202004,부산,건강보조식품 소매업,438551212.0
288,202004,부산,골프장 운영업,1783622558.0
289,202004,부산,과실 및 채소 소매업,3962032314.0
290,202004,부산,관광 민예품 및 선물용품 소매업,46779368.0
291,202004,부산,그외 기타 분류안된 오락관련 서비스업,0.0
292,202004,부산,그외 기타 스포츠시설 운영업,1629000.0
293,202004,부산,그외 기타 종합 소매업,1710323035.0
294,202004,부산,기타 대형 종합 소매업,54992682562.0
295,202004,부산,기타 수상오락 서비스업,668700.0
296,202004,부산,기타 외국식 음식점업,1650292290.0
297,202004,부산,기타 주점업,1267193680.0
298,202004,부산,기타음식료품위주종합소매업,1308285066.0
299,202004,부산,내항 여객 운송업,0.0
300,202004,부산,마사지업,30544000.0
301,202004,부산,면세점,0.0
302,202004,부산,버스 운송업,0.0
303,202004,부산,비알콜 음료점업,3926743794.0
304,202004,부산,빵 및 과자류 소매업,3859546548.0
305,202004,부산,서양식 음식점업,6470796624.0
306,202004,부산,수산물 소매업,898872262.0
307,202004,부산,슈퍼마켓,27372369290.0
308,202004,부산,스포츠 및 레크레이션 용품 임대업,5356907527.0
309,202004,부산,여관업,957360123.0
310,202004,부산,여행사업,6056000.0
311,202004,부산,욕탕업,1040985321.0
312,202004,부산,육류 소매업,5429642861.0
313,202004,부산,일반유흥 주점업,3013776915.0
314,202004,부산,일식 음식점업,2951597667.0
315,202004,부산,자동차 임대업,3188600.0
316,202004,부산,전시 및 행사 대행업,65294460.0
317,202004,부산,정기 항공 운송업,848086050.0
318,202004,부산,중식 음식점업,2931098534.0
319,202004,부산,차량용 가스 충전업,665855870.0
320,202004,부산,차량용 주유소 운영업,22870690607.0
321,202004,부산,체인화 편의점,21368820131.0
322,202004,부산,택시 운송업,3084453043.0
323,202004,부산,피자 햄버거 샌드위치 및 유사 음식점업,4952974167.0
324,202004,부산,한식 음식점업,52978607795.0
325,202004,부산,호텔업,448651115.0
326,202004,부산,화장품 및 방향제 소매업,2142869925.0
327,202004,부산,휴양콘도 운영업,132210071.0
328,202004,서울,건강보조식품 소매업,1156967293.0
329,202004,서울,골프장 운영업,493581405.0
330,202004,서울,과실 및 채소 소매업,8526966927.0
331,202004,서울,관광 민예품 및 선물용품 소매업,79634230.0
332,202004,서울,그외 기타 분류안된 오락관련 서비스업,0.0
333,202004,서울,그외 기타 스포츠시설 운영업,23516300.0
334,202004,서울,그외 기타 종합 소매업,40888502165.0
335,202004,서울,기타 대형 종합 소매업,84095024578.0
336,202004,서울,기타 수상오락 서비스업,3289700.0
337,202004,서울,기타 외국식 음식점업,7824190369.0
338,202004,서울,기타 주점업,892363711.0
339,202004,서울,기타음식료품위주종합소매업,25412978369.0
340,202004,서울,내항 여객 운송업,1353672080.0
341,202004,서울,마사지업,182906911.0
342,202004,서울,면세점,588529.0
343,202004,서울,버스 운송업,3193966580.0
344,202004,서울,비알콜 음료점업,27834586054.0
345,202004,서울,빵 및 과자류 소매업,14072395519.0
346,202004,서울,서양식 음식점업,36258609098.0
347,202004,서울,수산물 소매업,3563053604.0
348,202004,서울,슈퍼마켓,86367793756.0
349,202004,서울,스포츠 및 레크레이션 용품 임대업,17068547405.0
350,202004,서울,여관업,2187688502.0
351,202004,서울,여행사업,192855081.0
352,202004,서울,욕탕업,1348719312.0
353,202004,서울,육류 소매업,14672370520.0
354,202004,서울,일반유흥 주점업,1487088143.0
355,202004,서울,일식 음식점업,15904595225.0
356,202004,서울,자동차 임대업,164255851.0
357,202004,서울,전시 및 행사 대행업,159844225.0
358,202004,서울,정기 항공 운송업,2706958444.0
359,202004,서울,중식 음식점업,15245490800.0
360,202004,서울,차량용 가스 충전업,669177015.0
361,202004,서울,차량용 주유소 운영업,27317016698.0
362,202004,서울,체인화 편의점,81252902231.0
363,202004,서울,택시 운송업,80156854729.0
364,202004,서울,피자 햄버거 샌드위치 및 유사 음식점업,18784292007.0
365,202004,서울,한식 음식점업,160157294218.0
366,202004,서울,호텔업,3349446397.0
367,202004,서울,화장품 및 방향제 소매업,15487789175.0
368,202004,서울,휴양콘도 운영업,0.0
369,202004,세종,건강보조식품 소매업,10704250.0
370,202004,세종,골프장 운영업,254821230.0
371,202004,세종,과실 및 채소 소매업,406198970.0
372,202004,세종,관광 민예품 및 선물용품 소매업,0.0
373,202004,세종,그외 기타 분류안된 오락관련 서비스업,0.0
374,202004,세종,그외 기타 스포츠시설 운영업,0.0
375,202004,세종,그외 기타 종합 소매업,6544958.0
376,202004,세종,기타 대형 종합 소매업,1560773340.0
377,202004,세종,기타 수상오락 서비스업,0.0
378,202004,세종,기타 외국식 음식점업,127254211.0
379,202004,세종,기타 주점업,3555000.0
380,202004,세종,기타음식료품위주종합소매업,790852196.0
381,202004,세종,내항 여객 운송업,0.0
382,202004,세종,마사지업,0.0
383,202004,세종,면세점,0.0
384,202004,세종,버스 운송업,0.0
385,202004,세종,비알콜 음료점업,239223059.0
386,202004,세종,빵 및 과자류 소매업,293703231.0
387,202004,세종,서양식 음식점업,420718140.0
388,202004,세종,수산물 소매업,52384180.0
389,202004,세종,슈퍼마켓,1519803740.0
390,202004,세종,스포츠 및 레크레이션 용품 임대업,241369385.0
391,202004,세종,여관업,4071000.0
392,202004,세종,여행사업,0.0
393,202004,세종,욕탕업,15686700.0
394,202004,세종,육류 소매업,392696458.0
395,202004,세종,일반유흥 주점업,12495000.0
396,202004,세종,일식 음식점업,107051600.0
397,202004,세종,자동차 임대업,0.0
398,202004,세종,전시 및 행사 대행업,480500.0
399,202004,세종,정기 항공 운송업,0.0
400,202004,세종,중식 음식점업,288609365.0
401,202004,세종,차량용 가스 충전업,37993840.0
402,202004,세종,차량용 주유소 운영업,2047101769.0
403,202004,세종,체인화 편의점,1228865880.0
404,202004,세종,택시 운송업,0.0
405,202004,세종,피자 햄버거 샌드위치 및 유사 음식점업,288634738.0
406,202004,세종,한식 음식점업,2588069335.0
407,202004,세종,호텔업,0.0
408,202004,세종,화장품 및 방향제 소매업,47521985.0
409,202004,세종,휴양콘도 운영업,0.0
410,202004,울산,건강보조식품 소매업,72624594.0
411,202004,울산,골프장 운영업,708743300.0
412,202004,울산,과실 및 채소 소매업,909998345.0
413,202004,울산,관광 민예품 및 선물용품 소매업,3203500.0
414,202004,울산,그외 기타 분류안된 오락관련 서비스업,0.0
415,202004,울산,그외 기타 스포츠시설 운영업,78000.0
416,202004,울산,그외 기타 종합 소매업,2464234430.0
417,202004,울산,기타 대형 종합 소매업,6974734186.0
418,202004,울산,기타 수상오락 서비스업,156000.0
419,202004,울산,기타 외국식 음식점업,578104954.0
420,202004,울산,기타 주점업,285441900.0
421,202004,울산,기타음식료품위주종합소매업,1625681518.0
422,202004,울산,내항 여객 운송업,0.0
423,202004,울산,마사지업,32350000.0
424,202004,울산,면세점,0.0
425,202004,울산,버스 운송업,1161600.0
426,202004,울산,비알콜 음료점업,1126923255.0
427,202004,울산,빵 및 과자류 소매업,1200194012.0
428,202004,울산,서양식 음식점업,1652605303.0
429,202004,울산,수산물 소매업,371120480.0
430,202004,울산,슈퍼마켓,11111795598.0
431,202004,울산,스포츠 및 레크레이션 용품 임대업,1488939609.0
432,202004,울산,여관업,251909895.0
433,202004,울산,여행사업,131500.0
434,202004,울산,욕탕업,323218306.0
435,202004,울산,육류 소매업,3217148789.0
436,202004,울산,일반유흥 주점업,1112890670.0
437,202004,울산,일식 음식점업,592828429.0
438,202004,울산,자동차 임대업,1870000.0
439,202004,울산,전시 및 행사 대행업,1841500.0
440,202004,울산,정기 항공 운송업,0.0
441,202004,울산,중식 음식점업,985038949.0
442,202004,울산,차량용 가스 충전업,270609790.0
443,202004,울산,차량용 주유소 운영업,10845543869.0
444,202004,울산,체인화 편의점,6808682220.0
445,202004,울산,택시 운송업,0.0
446,202004,울산,피자 햄버거 샌드위치 및 유사 음식점업,1530544761.0
447,202004,울산,한식 음식점업,17631679636.0
448,202004,울산,호텔업,96333694.0
449,202004,울산,화장품 및 방향제 소매업,445346830.0
450,202004,울산,휴양콘도 운영업,0.0
451,202004,인천,건강보조식품 소매업,316202014.0
452,202004,인천,골프장 운영업,2293218740.0
453,202004,인천,과실 및 채소 소매업,3161934467.0
454,202004,인천,관광 민예품 및 선물용품 소매업,12067400.0
455,202004,인천,그외 기타 분류안된 오락관련 서비스업,0.0
456,202004,인천,그외 기타 스포츠시설 운영업,2954500.0
457,202004,인천,그외 기타 종합 소매업,90962496.0
458,202004,인천,기타 대형 종합 소매업,20538585700.0
459,202004,인천,기타 수상오락 서비스업,16309800.0
460,202004,인천,기타 외국식 음식점업,2287662284.0
461,202004,인천,기타 주점업,481068859.0
462,202004,인천,기타음식료품위주종합소매업,1460306959.0
463,202004,인천,내항 여객 운송업,172198550.0
464,202004,인천,마사지업,67775720.0
465,202004,인천,면세점,48785111.0
466,202004,인천,버스 운송업,0.0
467,202004,인천,비알콜 음료점업,2806445665.0
468,202004,인천,빵 및 과자류 소매업,2709940228.0
469,202004,인천,서양식 음식점업,3539338471.0
470,202004,인천,수산물 소매업,1507943437.0
471,202004,인천,슈퍼마켓,27934203518.0
472,202004,인천,스포츠 및 레크레이션 용품 임대업,4899485977.0
473,202004,인천,여관업,780494757.0
474,202004,인천,여행사업,1053000.0
475,202004,인천,욕탕업,311951884.0
476,202004,인천,육류 소매업,4065624323.0
477,202004,인천,일반유흥 주점업,1144926783.0
478,202004,인천,일식 음식점업,2092555486.0
479,202004,인천,자동차 임대업,2158600.0
480,202004,인천,전시 및 행사 대행업,147558070.0
481,202004,인천,정기 항공 운송업,170396810.0
482,202004,인천,중식 음식점업,2654296871.0
483,202004,인천,차량용 가스 충전업,497622038.0
484,202004,인천,차량용 주유소 운영업,18970481929.0
485,202004,인천,체인화 편의점,18669417919.0
486,202004,인천,택시 운송업,112094790.0
487,202004,인천,피자 햄버거 샌드위치 및 유사 음식점업,3143060007.0
488,202004,인천,한식 음식점업,37680816668.0
489,202004,인천,호텔업,176878524.0
490,202004,인천,화장품 및 방향제 소매업,877812546.0
491,202004,인천,휴양콘도 운영업,0.0
492,202004,전남,건강보조식품 소매업,138438499.0
493,202004,전남,골프장 운영업,3728498766.0
494,202004,전남,과실 및 채소 소매업,2367429730.0
495,202004,전남,관광 민예품 및 선물용품 소매업,10058200.0
496,202004,전남,그외 기타 분류안된 오락관련 서비스업,0.0
497,202004,전남,그외 기타 스포츠시설 운영업,3877000.0
498,202004,전남,그외 기타 종합 소매업,2964166320.0
499,202004,전남,기타 대형 종합 소매업,7832311551.0
500,202004,전남,기타 수상오락 서비스업,0.0
501,202004,전남,기타 외국식 음식점업,628284939.0
502,202004,전남,기타 주점업,568372673.0
503,202004,전남,기타음식료품위주종합소매업,9769655304.0
504,202004,전남,내항 여객 운송업,21049800.0
505,202004,전남,마사지업,74054000.0
506,202004,전남,면세점,0.0
507,202004,전남,버스 운송업,3640460.0
508,202004,전남,비알콜 음료점업,1502609850.0
509,202004,전남,빵 및 과자류 소매업,1592559613.0
510,202004,전남,서양식 음식점업,2286245463.0
511,202004,전남,수산물 소매업,1003520858.0
512,202004,전남,슈퍼마켓,13953874579.0
513,202004,전남,스포츠 및 레크레이션 용품 임대업,2940249445.0
514,202004,전남,여관업,463100239.0
515,202004,전남,여행사업,4335000.0
516,202004,전남,욕탕업,214853840.0
517,202004,전남,육류 소매업,2595911234.0
518,202004,전남,일반유흥 주점업,1487851801.0
519,202004,전남,일식 음식점업,1022061486.0
520,202004,전남,자동차 임대업,1356600.0
521,202004,전남,전시 및 행사 대행업,130082150.0
522,202004,전남,정기 항공 운송업,0.0
523,202004,전남,중식 음식점업,1417482714.0
524,202004,전남,차량용 가스 충전업,867244500.0
525,202004,전남,차량용 주유소 운영업,22342252339.0
526,202004,전남,체인화 편의점,7642729458.0
527,202004,전남,택시 운송업,0.0
528,202004,전남,피자 햄버거 샌드위치 및 유사 음식점업,1483592930.0
529,202004,전남,한식 음식점업,26175599494.0
530,202004,전남,호텔업,17609100.0
531,202004,전남,화장품 및 방향제 소매업,562304314.0
532,202004,전남,휴양콘도 운영업,171459544.0
533,202004,전북,건강보조식품 소매업,201644003.0
534,202004,전북,골프장 운영업,1977712412.0
535,202004,전북,과실 및 채소 소매업,1875486968.0
536,202004,전북,관광 민예품 및 선물용품 소매업,32103700.0
537,202004,전북,그외 기타 분류안된 오락관련 서비스업,0.0
538,202004,전북,그외 기타 스포츠시설 운영업,1654000.0
539,202004,전북,그외 기타 종합 소매업,876233490.0
540,202004,전북,기타 대형 종합 소매업,9785414660.0
541,202004,전북,기타 수상오락 서비스업,79000.0
542,202004,전북,기타 외국식 음식점업,1384422513.0
543,202004,전북,기타 주점업,263988258.0
544,202004,전북,기타음식료품위주종합소매업,4656337781.0
545,202004,전북,내항 여객 운송업,0.0
546,202004,전북,마사지업,41498900.0
547,202004,전북,면세점,0.0
548,202004,전북,버스 운송업,68800.0
549,202004,전북,비알콜 음료점업,1844117199.0
550,202004,전북,빵 및 과자류 소매업,1885233158.0
551,202004,전북,서양식 음식점업,2839453283.0
552,202004,전북,수산물 소매업,1209146956.0
553,202004,전북,슈퍼마켓,18301585167.0
554,202004,전북,스포츠 및 레크레이션 용품 임대업,3720212364.0
555,202004,전북,여관업,350441580.0
556,202004,전북,여행사업,631700.0
557,202004,전북,욕탕업,287580601.0
558,202004,전북,육류 소매업,3214693013.0
559,202004,전북,일반유흥 주점업,602481610.0
560,202004,전북,일식 음식점업,1159550015.0
561,202004,전북,자동차 임대업,5598824.0
562,202004,전북,전시 및 행사 대행업,24966550.0
563,202004,전북,정기 항공 운송업,648400.0
